,filename,isotope,energy,counts,unc_counts,intensity,unc_intensity,efficiency,unc_efficiency,decays,unc_decays,decay_rate,unc_decay_rate,chi2,start_time,live_time,real_time
0,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,47SC,159.381,31817.064315142004,236.86717093702384,0.6829999999999999,0.004,0.0051768004693009,0.0007785888560624,9014213.4396744,1359360.093333697,1727.8538316416332,260.56356015597026,1.862812939234039,02/22/2017 09:31:51,5208.0,5217.0
1,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48SC,175.361,583.6734702547849,95.9017011663138,0.0748,0.001,0.0049289130235965,0.0007385288023846,1585868.0969262794,359330.14027202234,303.9808504746558,68.87677597700255,2.4332820465094738,02/22/2017 09:31:51,5208.0,5217.0
2,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,44SCm,271.241,9361.129837609536,97.38419119270677,0.867,0.003,0.0035908935540781,0.0001763777045013,3012010.6364812674,154748.3073066,577.3453395593765,29.662316907533068,0.9425830172588024,02/22/2017 09:31:51,5208.0,5217.0
3,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,46SC,889.277,4892.2986270686,90.9280793839329,0.99984,1e-05,0.0014182112223451,6.650411161018094e-05,3456140.544455577,181201.66176087543,662.4766234340765,34.7329234734283,1.7107790786188142,02/22/2017 09:31:51,5208.0,5217.0
4,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48V,944.13,925.1467631021538,31.821544784475375,0.0787,7.000000000000001e-05,0.0013540956008049,6.770262941164613e-05,8696338.48470533,600276.7771438966,1666.9232288106823,115.06167857847356,0.8365909820884948,02/22/2017 09:31:51,5208.0,5217.0
5,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48V,983.525,6674.497565597476,1638.4433445629652,0.9998,0.0004,0.0013108302912562,6.881160559339934e-05,5101628.604445247,1282176.3832109552,977.8854905971338,245.76890611672516,0.819973663701939,02/22/2017 09:31:51,5208.0,5217.0
6,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48SC,983.526,5955.495837335945,1638.897832601698,1.001,0.006,0.0013108292213186,6.881163364235335e-05,4546608.870265158,1275398.9915283166,871.4987292055123,244.4698086119066,0.819973663701939,02/22/2017 09:31:51,5208.0,5217.0
7,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48SC,1037.522,715.595317739614,42.993087134924295,0.976,0.0069999999999999,0.0012553284590276,7.014395960206417e-05,585073.1379238634,52918.37121168801,112.14742915926077,10.143448574216604,1.962332088653293,02/22/2017 09:31:51,5208.0,5217.0
8,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,46SC,1120.545,3903.315429066587,94.21729148983997,0.99987,1e-05,0.0011803342181088,7.014672945137448e-05,3313103.2751790895,219033.3454133834,635.0590905077802,41.98454004473517,2.374637151918449,02/22/2017 09:31:51,5208.0,5217.0
9,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,44SC,1157.02,3347.844787107901,75.85882060838354,0.999,0.004,0.0011507134881481,6.907079318721528e-05,2917309.351949527,194194.6775026615,559.1928985910537,37.2234382792144,1.8135498528082756,02/22/2017 09:31:51,5208.0,5217.0
10,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48V,1312.106,7645.573175357539,3322.5911612610635,0.982,0.003,0.001039808395649,6.530528166504959e-05,7500584.411134024,3294642.9654288325,1437.7198411221054,631.5205990854577,0.8152082418982888,02/22/2017 09:31:51,5208.0,5217.0
11,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48SC,1312.12,2304.2452760126957,3325.823468452545,1.001,0.0069999999999999,0.0010397993485214,6.530632825715816e-05,2217659.9250908573,3204250.4432684975,425.08336689493143,614.1940661814256,0.8152082418982888,02/22/2017 09:31:51,5208.0,5217.0
12,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,44SC,1499.46,21.544488377120476,6.948746922164633,0.00908,0.00015,0.0009317055316063,0.0001526069560867,2551064.997422133,1074911.0501997222,488.99079881582,206.04007096026876,2.714338835329442,02/22/2017 09:31:51,5208.0,5217.0
13,trainingdata/CC220217_Ti06_18cm_50MeV.Spe,48V,2240.396,125.08021583200356,7.523511494033956,0.02333,0.00013,0.00066700312536,0.0020802528942908,8051853.703278555,25127190.218358867,1543.3877138735968,4816.406022303789,0.7120619739994632,02/22/2017 09:31:51,5208.0,5217.0
0,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,47SC,159.381,9103.538553532042,110.98326881568356,0.6829999999999999,0.004,0.0051769141726501,0.0001488241542605,2575625.340580743,86166.11606209389,324.3860630454336,10.852155675326689,1.1592989678444463,03/02/2017 12:35:18,7937.0,7940.0
1,trainingdata/CO020317_Ti06_18cm_50MeV.Spe,44SCm,271.241,1281.1421212734442,63.863791528926285,0.867,0.003,0.0037135293740332,5.882635978732697e-05,398066.3542066405,23645.276430291902,50.13430153736026,2.9779945126312226,1.26857226429729,03/02/2017 12:35:18,7937.0,7940.0
